Jobnumber	Jobname	Status	Started	Ended	Submitted	Command	User
1325	4PYFWR	completed	06/2411:12AM	06/2411:12AM	06/2411:11AM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 15 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out 4PYFWR.dat --clean_up	xchen
1326	I1BBKS	completed	06/2411:13AM	06/2411:13AM	06/2411:12AM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 33 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out I1BBKS.dat --clean_up	xchen
1327	7QRJIZ	completed	06/2411:14AM	06/2411:14AM	06/2411:13AM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 31 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out 7QRJIZ.dat --clean_up	xchen
1328	LC2PF2	completed	06/2411:15AM	06/2411:15AM	06/2411:14AM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 28 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out LC2PF2.dat --clean_up	xchen
1329	YKXWEE	completed	 	06/2411:16AM	06/2411:15AM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 25 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out YKXWEE.dat --clean_up	xchen
1330	Y4V479	completed	 	06/2411:17AM	06/2411:16AM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 21 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out Y4V479.dat --clean_up	xchen
1331	YWV2H3	completed	06/2411:18AM	06/2411:18AM	06/2411:17AM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 17 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out YWV2H3.dat --clean_up	xchen
1332	T1H2GX	completed	 	06/2411:19AM	06/2411:18AM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 15 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out T1H2GX.dat --clean_up	xchen
1333	AE1L2P	completed	 	06/2411:20AM	06/2411:19AM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 13 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out AE1L2P.dat --clean_up	xchen
1334	MVJUC4	completed	06/2411:21AM	06/2411:21AM	06/2411:20AM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 11 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out MVJUC4.dat --clean_up	xchen
